Fund,Bank Name,City_x,State_x,Closing Date_x,City_y,State_y,Closing Date_y,Population,Total Housing Units,Owner Occupied Units,Owner Occupied Rate,Bachelors or higher,Census Year
10131,Hillcrest Bank Florida,Naples,FL,2009-10-23,Naples,FL,2009-10-23,399457,188150.0,47978.0,0.25499867127292053,0.147,2010
10127,American United Bank,Lawrenceville,GA,2009-10-23,Lawrenceville,GA,2009-10-23,19537,,,,,2010
10130,Partners Bank,Naples,FL,2009-10-23,Naples,FL,2009-10-23,62298,36926.0,9690.0,0.26241672534257704,0.068,2010
10126,San Joaquin Bank,Bakersfield,CA,2009-10-16,Bakersfield,CA,2009-10-16,19537,,,,,2010
10123,Southern Colorado National Bank,Pueblo,CO,2009-10-02,Pueblo,CO,2009-10-02,20748,,,,,2010
10124,Jennings State Bank,Spring Grove,MN,2009-10-02,Spring Grove,MN,2009-10-02,55156,,,,,2010
10125,Warren Bank,Warren,MI,2009-10-02,Warren,MI,2009-10-02,20748,,,,,2010
10122,Georgian Bank,Atlanta,GA,2009-09-25,Atlanta,GA,2009-09-25,46780,,,,,2010
10121,"Irwin Union Bank, F.S.B.",Louisville,KY,2009-09-18,Louisville,KY,2009-09-18,56315,,,,,2010
10120,Irwin Union Bank and Trust Company,Columbus,IN,2009-09-18,Columbus,IN,2009-09-18,154305,74370.0,39396.0,0.5297297297297298,0.098,2010
10119,Venture Bank,Lacey,WA,2009-09-11,Lacey,WA,2009-09-11,75594,32086.0,24212.0,0.7545970205073864,0.442,2010
10118,Brickwell Community Bank,Woodbury,MN,2009-09-11,Woodbury,MN,2009-09-11,49546,,,,,2010
10117,"Corus Bank, N.A.",Chicago,IL,2009-09-11,Chicago,IL,2009-09-11,49546,,,,,2010
10114,First State Bank,Flagstaff,AZ,2009-09-04,Flagstaff,AZ,2009-09-04,362563,134344.0,46847.0,0.34870928363008397,0.162,2010
10115,Platinum Community Bank,Rolling Meadows,IL,2009-09-04,Rolling Meadows,IL,2009-09-04,4944,,,,,2010
10116,Vantus Bank,Sioux City,IA,2009-09-04,Sioux City,IA,2009-09-04,420003,225203.0,76417.0,0.3393249645875055,0.072,2010
10113,InBank,Oak Forest,IL,2009-09-04,Oak Forest,IL,2009-09-04,9116,,,,,2010
10112,First Bank of Kansas City,Kansas City,MO,2009-09-04,Kansas City,MO,2009-09-04,420003,225203.0,76417.0,0.3393249645875055,0.072,2010
10110,Affinity Bank,Ventura,CA,2009-08-28,Ventura,CA,2009-08-28,1400,,,,,2010
10111,Mainstreet Bank,Forest Lake,MN,2009-08-28,Forest Lake,MN,2009-08-28,420003,225203.0,76417.0,0.3393249645875055,0.072,2010
10109,Bradford Bank,Baltimore,MD,2009-08-28,Baltimore,MD,2009-08-28,28546,,,,,2010
10105,Guaranty Bank,Austin,TX,2009-08-21,Austin,TX,2009-08-21,13839,,,,,2010
10106,CapitalSouth Bank,Birmingham,AL,2009-08-21,Birmingham,AL,2009-08-21,33039,,,,,2010
10108,First Coweta Bank,Newnan,GA,2009-08-21,Newnan,GA,2009-08-21,420003,225203.0,76417.0,0.3393249645875055,0.072,2010
10107,ebank,Atlanta,GA,2009-08-21,Atlanta,GA,2009-08-21,3276,,,,,2010
10100,Community Bank of Nevada,Las Vegas,NV,2009-08-14,Las Vegas,NV,2009-08-14,15355,,,,,2010
10101,Community Bank of Arizona,Phoenix,AZ,2009-08-14,Phoenix,AZ,2009-08-14,23896,,,,,2010
10102,"Union Bank, National Association",Gilbert,AZ,2009-08-14,Gilbert,AZ,2009-08-14,57551,,,,,2010
10103,Colonial Bank,Montgomery,AL,2009-08-14,Montgomery,AL,2009-08-14,91351,44778.0,16543.0,0.369444816651034,0.025,2010
10104,Dwelling House Savings and Loan Association,Pittsburgh,PA,2009-08-14,Pittsburgh,PA,2009-08-14,14099,,,,,2010
10092,Community First Bank,Prineville,OR,2009-08-07,Prineville,OR,2009-08-07,15945,,,,,2010
10099,Community National Bank of Sarasota County,Venice,FL,2009-08-07,Venice,FL,2009-08-07,33039,,,,,2010
10098,First State Bank,Sarasota,FL,2009-08-07,Venice,FL,2009-08-07,13956,,,,,2010
10094,Mutual Bank,Harvey,IL,2009-07-31,Harvey,IL,2009-07-31,29783,,,,,2010
10097,First BankAmericano,Elizabeth,NJ,2009-07-31,Elizabeth,NJ,2009-07-31,420003,225203.0,76417.0,0.3393249645875055,0.072,2010
10096,Peoples Community Bank,West Chester,OH,2009-07-31,West Chester,OH,2009-07-31,25636,,,,,2010
10095,Integrity Bank,Jupiter,FL,2009-07-31,Jupiter,FL,2009-07-31,420003,225203.0,76417.0,0.3393249645875055,0.072,2010
10093,First State Bank of Altus,Altus,OK,2009-07-31,Altus,OK,2009-07-31,6544,,,,,2010
10088,Security Bank of Jones County,Gray,GA,2009-07-24,Gray,GA,2009-07-24,22084,,,,,2010
10087,Security Bank of Houston County,Perry,GA,2009-07-24,Perry,GA,2009-07-24,26600,,,,,2010
10085,Security Bank of Bibb County,Macon,GA,2009-07-24,Macon,GA,2009-07-24,5045,,,,,2010
10090,Security Bank of North Metro,Woodstock,GA,2009-07-24,Woodstock,GA,2009-07-24,10458,,,,,2010
10089,Security Bank of North Fulton,Alpharetta,GA,2009-07-24,Alpharetta,GA,2009-07-24,57551,,,,,2010
10086,Security Bank of Gwinnett County,Suwanee,GA,2009-07-24,Suwanee,GA,2009-07-24,57551,,,,,2010
